Timestamp,HRV
0.0,2665.771582142913
0.876,2653.5991091650912
1.748,2641.42663618727
2.616,2617.0816902316265
3.476,2592.7367442759837
4.328,2592.7367442759837
5.18,2617.0816902316265
6.04,2653.5991091650912
6.912,2653.5991091650912
7.784,2677.944055120734
8.664,2690.1165280985556
9.548,2714.461474054199
10.44,2677.944055120734
11.32,2617.0816902316265
12.18,2604.9092172538053
13.036,2641.42663618727
13.904,2641.42663618727
14.772,2592.7367442759837
15.624,2592.7367442759837
16.476,2665.771582142913
17.352,2714.461474054199
18.244,2690.1165280985556
19.128,2617.0816902316265
19.988,2617.0816902316265
20.848,2690.1165280985556
21.732,2690.1165280985556
22.616,2617.0816902316265
23.476,2580.564271298162
24.324,2629.254163209448
25.188,2702.2890010763776
26.076,2690.1165280985556
26.96,2604.9092172538053
27.816,2592.7367442759837
28.668,2653.5991091650912
29.54,2702.2890010763776
30.428,2653.5991091650912
31.3,2592.7367442759837
32.152,2617.0816902316265
33.012,2702.2890010763776
33.9,2714.461474054199
34.792,2629.254163209448
35.656,2580.564271298162
36.504,2629.254163209448
37.368,2690.1165280985556
38.252,2665.771582142913
39.128,2592.7367442759837
39.98,2604.9092172538053
40.836,2690.1165280985556
41.72,2714.461474054199
42.612,2641.42663618727
43.48,2604.9092172538053
44.336,2629.254163209448
45.2,2690.1165280985556
46.084,2653.5991091650912
46.956,2604.9092172538053
47.812,2604.9092172538053
48.668,2665.771582142913
49.544,2690.1165280985556
50.428,2653.5991091650912
51.3,2629.254163209448
52.164,2653.5991091650912
53.036,2677.944055120734
53.916,2665.771582142913
54.792,2617.0816902316265
55.652,2604.9092172538053
56.508,2629.254163209448
57.372,2665.771582142913
58.248,2641.42663618727
59.116,2629.254163209448
59.98,2653.5991091650912
60.852,2690.1165280985556
61.736,2690.1165280985556
62.62,2665.771582142913
63.496,2617.0816902316265
64.356,2617.0816902316265
65.216,2629.254163209448
66.08,2653.5991091650912
66.952,2617.0816902316265
67.812,2604.9092172538053
68.668,2641.42663618727
69.536,2714.461474054199
70.428,2714.461474054199
71.32,2641.42663618727
72.188,2604.9092172538053
73.044,2641.42663618727
73.912,2677.944055120734
74.792,2629.254163209448
75.656,2568.3917983203405
76.5,2604.9092172538053
77.356,2690.1165280985556
78.24,2726.6339470320204
79.136,2665.771582142913
80.012,2617.0816902316265
80.872,2653.5991091650912
81.744,2690.1165280985556
82.628,2641.42663618727
83.496,2568.3917983203405
84.34,2580.564271298162
85.188,2653.5991091650912
86.06,2702.2890010763776
86.948,2665.771582142913
87.824,2641.42663618727
88.692,2677.944055120734
89.572,2690.1165280985556
90.456,2653.5991091650912
91.328,2604.9092172538053
92.184,2604.9092172538053
93.04,2629.254163209448
93.904,2641.42663618727
94.772,2629.254163209448
95.636,2665.771582142913
96.512,2690.1165280985556
97.396,2677.944055120734
98.276,2641.42663618727
99.144,2641.42663618727
100.012,2653.5991091650912
100.884,2641.42663618727
101.752,2592.7367442759837
102.604,2592.7367442759837
103.456,2653.5991091650912
104.328,2702.2890010763776
105.216,2677.944055120734
106.096,2629.254163209448
106.96,2665.771582142913
107.836,2702.2890010763776
108.724,2677.944055120734
109.604,2592.7367442759837
110.456,2580.564271298162
111.304,2617.0816902316265
112.164,2665.771582142913
113.04,2629.254163209448
113.904,2617.0816902316265
114.764,2653.5991091650912
115.636,2702.2890010763776
116.524,2702.2890010763776
117.412,2653.5991091650912
